,Composition,Synth. Probability,Half Heusler (F-43m),Experimental Structure,Electron Count,Label
1882,SmIrIn,0,0.152904396,MoNiP (P-62m),20,Common non-HH Prototype
990,SmScSi,0,0.179624522,[La2Sb],15,Other non-HH Prototype
70,YCrB,0,0.698641498,phase_separating,12,Phase Separating
1188,HfNbSi,0,0.504341438,[MgZn2],13,Other non-HH Prototype
1187,LaPtSi,0,0.467802852,[LaPtSi],17,Other non-HH Prototype
1183,CeNiAl,0,0.243660166,MoNiP (P-62m),16,Common non-HH Prototype
1206,DyIrAl,0,0.301925429,MgSrSi (Pnma),24,Common non-HH Prototype
775,NdRhGe,0,0.333899135,MgSrSi (Pnma),19,Common non-HH Prototype
1323,ErRuGe,0,0.394345807,MgSrSi (Pnma),26,Common non-HH Prototype
182,PrPtAl,0,0.313714678,MgSrSi (Pnma),18,Common non-HH Prototype
1533,TbRhIn,0,0.145909973,MoNiP (P-62m),23,Common non-HH Prototype
326,GdPtGe,0,0.231676547,MgSrSi (Pnma),17,Common non-HH Prototype
321,NdNiAl,0,0.250013646,MoNiP (P-62m),19,Common non-HH Prototype
1530,LaPdSi,0,0.329215148,[PrPdSi],23,Other non-HH Prototype
319,LaPdAl,0,0.27827366,[LaNiAl],22,Other non-HH Prototype
1529,CeRhZn,0,0.212032715,[LaNiAl],24,Other non-HH Prototype
578,LaZnSn,0,0.164757418,[YPtAs],19,Other non-HH Prototype
1519,YCoSi,0,0.457614223,MgSrSi (Pnma),16,Common non-HH Prototype
1102,NbFeSi,0,0.268355278,MgSrSi (Pnma),17,Common non-HH Prototype
312,DyMnSi,0,0.421117658,MgSrSi (Pnma),23,Common non-HH Prototype
310,SmFeAl,0,0.42531239,[MgZn2],19,Other non-HH Prototype
307,NdMgPt,0,0.152202009,MoNiP (P-62m),24,Common non-HH Prototype
599,GdMnGe,0,0.3806152,MgSrSi (Pnma),14,Common non-HH Prototype
1502,ScFeSi,0,0.474915245,MgSrSi (Pnma),15,Common non-HH Prototype
600,CeRhSi,0,0.511763052,[ZrSO],16,Other non-HH Prototype
603,TmCoSi,0,0.404773517,MgSrSi (Pnma),28,Common non-HH Prototype
