,Composition,Synth. Probability,Half Heusler (F-43m),Experimental Structure,Electron Count,Label
1180,AuCdSb,0.556,0,Half Heusler (F-43m),28,Half Heusler
1653,TaCoSn,0.551,0,Half Heusler (F-43m),18,Half Heusler
586,HfPdSb,0.54,0.148507748,MgSrSi (Pnma),25,Common non-HH Prototype
1361,ThNiSn,0.528,0,Half Heusler (F-43m),18,Half Heusler
1723,URhSb,0.526571429,0.011351572,Half Heusler (F-43m),17,Half Heusler
1372,YbAuSb,0.525,0,LiGaGe (P63mc),32,Common non-HH Prototype
46,ZrPdSb,0.524,0.108280112,MgSrSi (Pnma),25,Common non-HH Prototype
773,NbNiSn,0.516,0.088957836,phase_separating,19,Phase Separating
804,VMnSb,0.514,0.155781459,[InNi2#Co1.75Ge],17,Other non-HH Prototype
1524,ErRhBi,0.47,0,MoNiP (P-62m),28,Common non-HH Prototype
1711,LiMgAs,0.467,0,Half Heusler (F-43m),16,Half Heusler
1611,SmPtSb,0.459,0,Half Heusler (F-43m),23,Half Heusler
1543,CuCdSb,0.448,0.017753054,Half Heusler (F-43m),28,Half Heusler
1627,TiPdGa,0.445,0.22222815,AsHgK (P63/mmc),23,Common non-HH Prototype
1219,AuInSn,0.441,0.001688247,phase_separating,18,Phase Separating
397,TmLiSn,0.441,0.215025117,[LiYSn],22,Other non-HH Prototype
982,TiCuSn,0.439,0.104859597,LiGaGe (P63mc),19,Common non-HH Prototype
1291,LiCdAs,0.438,0,Half Heusler (F-43m),20,Half Heusler
20,HfCuSb,0.437,0.365269728,phase_separating,20,Phase Separating
1297,GdPtPb,0.424,0.022650849,MoNiP (P-62m),17,Common non-HH Prototype
